time_s,x_cm,z_cm,pitch_deg,vx_ms,torque_Nm
0.054,-5.0,29.0,0.0,0.07,27.0
0.104,-5.0,29.0,0.02,-0.03,27.0
0.15,-5.2,29.0,0.04,-0.03,27.0
0.2,-5.4,29.0,0.03,-0.03,27.0
0.25,-5.6,29.0,0.01,-0.03,27.0
0.3,-5.7,29.0,0.0,-0.0,27.0
0.35,-5.6,29.0,0.01,0.05,27.0
0.404,-5.3,29.0,0.02,0.06,27.0
0.454,-5.0,29.0,0.01,0.08,27.0
0.504,-4.5,29.0,0.0,0.11,27.0
0.554,-3.8,29.0,0.01,0.16,27.0
0.604,-3.0,29.0,-0.0,0.19,27.0
0.654,-2.0,29.0,-0.02,0.19,27.0
0.704,-1.0,29.0,0.0,0.21,27.0
0.754,0.1,29.0,-0.0,0.23,27.0
0.804,1.2,29.0,-0.0,0.23,27.0
0.854,2.5,29.0,0.0,0.26,27.0
0.904,3.9,29.0,0.01,0.28,27.0
0.954,5.3,29.0,0.0,0.29,27.0
1.004,6.8,29.0,-0.0,0.32,27.0
1.054,8.5,29.0,-0.0,0.33,27.0
1.104,10.2,29.0,-0.0,0.34,27.0
1.154,11.8,29.0,0.01,0.33,27.0
1.204,13.5,29.0,0.01,0.33,27.0
1.254,15.1,29.0,0.0,0.34,27.0
1.304,16.9,29.0,-0.0,0.36,27.0
1.354,18.8,29.0,-0.01,0.39,27.0
1.404,20.7,29.0,0.0,0.39,27.0
1.454,22.7,29.0,-0.0,0.41,27.0
1.504,24.8,29.0,0.0,0.42,27.0
1.554,26.9,29.0,-0.02,0.42,27.0
1.604,29.1,29.0,0.0,0.42,27.0
1.654,31.1,29.0,-0.01,0.41,27.0
1.704,33.2,29.0,-0.0,0.41,27.0
1.754,35.3,29.0,0.01,0.42,27.0
1.804,37.4,29.0,0.0,0.42,27.0
1.854,39.5,29.0,0.0,0.42,27.0
1.904,41.6,29.0,-0.01,0.41,27.0
1.954,43.6,29.0,0.01,0.41,27.0
2.004,45.6,29.0,-0.0,0.41,27.0
2.054,47.7,29.0,0.01,0.41,27.0
2.104,49.8,29.0,-0.0,0.43,27.0
2.15,51.8,29.0,-0.0,0.42,27.0
2.2,53.8,29.0,-0.01,0.41,27.0
2.25,55.8,29.0,-0.01,0.4,27.0
2.3,57.9,29.0,-0.0,0.41,27.0
2.35,60.0,29.0,-0.0,0.44,27.0
2.4,62.2,29.0,-0.0,0.45,27.0
2.45,64.5,29.0,-0.0,0.45,27.0
2.5,66.7,29.0,0.0,0.45,27.0
2.55,68.9,29.0,0.0,0.43,27.0
2.6,71.0,29.0,-0.0,0.39,27.0
2.65,72.8,29.0,0.0,0.34,27.0
2.7,74.4,29.0,0.01,0.3,27.0
2.75,75.8,29.0,0.01,0.27,27.0
2.8,77.1,29.0,0.01,0.24,27.0
